MAE,RMSE,R2,method,abl,subset,seed,z_dim,beta,like,misspec
0.58571807573369,0.7416263021025866,0.9989968632176829,MB-VIB,capacity_beta_like,,0,8.0,0.01,student_t,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,8.0,0.01,laplace,
0.8812164442142121,1.0814731996139935,0.9978668498284987,MB-VIB,capacity_beta_like,,0,8.0,0.01,laplace,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,16.0,0.001,student_t,
0.5797714398301063,0.7209462873771469,0.9990520275264928,MB-VIB,capacity_beta_like,,0,16.0,0.001,student_t,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,16.0,0.001,laplace,
0.6045688176634325,0.7420957646020945,0.9989955928092441,MB-VIB,capacity_beta_like,,0,16.0,0.001,laplace,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,16.0,0.003,student_t,
0.6031231154458655,0.7427655000026401,0.9989937790524984,MB-VIB,capacity_beta_like,,0,16.0,0.003,student_t,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,16.0,0.003,laplace,
0.824975447652259,1.0216185759670227,0.9980964360586009,MB-VIB,capacity_beta_like,,0,16.0,0.003,laplace,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,16.0,0.01,student_t,
1.2439125366925468,1.484284625281715,0.995981867208754,MB-VIB,capacity_beta_like,,0,16.0,0.01,student_t,
0.4003260641343697,0.49073794185189873,0.9995607728456111,MB-GIB,capacity_beta_like,,0,16.0,0.01,laplace,
0.7532005198204687,1.0487488990947667,0.9979939906945456,MB-VIB,capacity_beta_like,,0,16.0,0.01,laplace,
0.6108221941157468,0.7671488987951275,0.9989266305277478,MB-GIB(misspec),mb_misspec,,0,,,,drop_one
1.6523055315069728,2.2330392696677115,0.990905420399775,MB-VIB(misspec),mb_misspec,,0,,,,drop_one
0.3915265745352145,0.48110319414487424,0.9995778503942963,MB-GIB(misspec),mb_misspec,,0,,,,add_nonmb
0.6220628525644325,0.7902313922892963,0.9988610662466573,MB-VIB(misspec),mb_misspec,,0,,,,add_nonmb
0.790074741146228,0.9558263589399131,0.9982029584823734,MB-GIB,scope,parent,1,,,,
1.8310867550761651,2.1735202705739414,0.9907076085901241,MB-VIB,scope,parent,1,,,,
0.7887203768208547,0.9542133967363091,0.9982090183997449,BN,scope,parent,1,,,,
2.339142022908563,3.11437095027239,0.9809216511980201,PureDNN,scope,parent,1,,,,
1.2959395051542901,1.56534543733376,0.9951802946533481,IIB-style,scope,parent,1,,,,
0.39778156783774565,0.4959843565064678,0.9995161217928498,MB-GIB,scope,mb,1,,,,
1.3998557110355858,1.57795687636368,0.9951023204579893,MB-VIB,scope,mb,1,,,,
44.66006666378192,49.94408084128998,-3.906458781688044,BN,scope,mb,1,,,,
1.3578576466087713,1.7612269399614715,0.9938985824809217,PureDNN,scope,mb,1,,,,
1.951448489887248,2.5006763801008907,0.9876997174125373,IIB-style,scope,mb,1,,,,
0.4153164803730401,0.516826568474364,0.9994746003639472,MB-GIB,scope,global,1,,,,
0.6453020382011195,0.7798704678696652,0.998803686359685,MB-VIB,scope,global,1,,,,
44.66006666378192,49.94408084128998,-3.906458781688044,BN,scope,global,1,,,,
0.7078109487544443,0.9318275976214218,0.998292065378096,PureDNN,scope,global,1,,,,
1.01230604019226,1.2288044733528414,0.9970299369257268,IIB-style,scope,global,1,,,,
